Timestamp,Server,CPU Usage,Memory Usage,Disk Usage
2026-03-02 14:20:03.209046,Server C,85,2304,79
2026-03-02 14:20:03.243112,Server C,82,1024,26
2026-03-02 14:20:03.288360,Server C,100,3328,77
2026-03-02 14:20:03.341290,Server C,98,1280,9
2026-03-02 14:20:03.350289,Server C,90,3328,42
2026-03-02 14:20:03.403715,Server C,86,1280,15
2026-03-02 14:20:03.489871,Server C,91,1280,60
2026-03-02 14:20:03.547996,Server C,92,3584,41
2026-03-02 14:20:03.553754,Server C,88,2560,62
2026-03-02 14:20:03.571262,Server C,85,2560,79
2026-03-02 14:20:03.611692,Server C,84,768,46
2026-03-02 14:20:03.614982,Server C,100,2560,44
2026-03-02 14:20:03.631559,Server C,94,768,47
2026-03-02 14:20:03.633734,Server C,95,2560,87
2026-03-02 14:20:03.640430,Server C,85,3072,52
2026-03-02 14:20:03.644045,Server C,91,2560,14
2026-03-02 14:20:03.681985,Server C,90,1024,12
2026-03-02 14:20:03.689893,Server C,82,1280,43
2026-03-02 14:20:03.696200,Server C,82,4096,95
2026-03-02 14:20:03.697812,Server C,89,3072,6
2026-03-02 14:20:03.699414,Server C,87,4096,4
2026-03-02 14:20:03.718526,Server C,91,768,76
2026-03-02 14:20:03.727737,Server C,92,1280,29
2026-03-02 14:20:03.766839,Server C,97,2304,22
2026-03-02 14:20:03.831105,Server C,86,768,44
2026-03-02 14:20:03.837688,Server C,99,3328,84
2026-03-02 14:20:03.839317,Server C,92,2560,19
2026-03-02 14:20:03.840921,Server C,87,4096,68
2026-03-02 14:20:03.843997,Server C,93,3584,36
2026-03-02 14:20:03.894280,Server C,92,4096,16
2026-03-02 14:20:03.895855,Server C,93,2816,19
2026-03-02 14:20:03.902318,Server C,99,2304,44
2026-03-02 14:20:03.903890,Server C,98,1536,76
2026-03-02 14:20:03.912057,Server C,82,768,80
2026-03-02 14:20:03.926103,Server C,95,1792,98
2026-03-02 14:20:03.941508,Server C,87,3072,88
2026-03-02 14:20:03.951040,Server C,99,2816,76
2026-03-02 14:20:04.014014,Server C,99,3584,91
