Timestamp, Server, CPU Usage, Memory Usage, Disk Usage
2026-03-02 14:20:03.179135, Server C,  37%, 2560 MB,  26 GB
2026-03-02 14:20:03.180243, Server A,  23%, 3328 MB,  11 GB
2026-03-02 14:20:03.181788, Server B,  47%, 3072 MB,  26 GB
2026-03-02 14:20:03.183497, Server C,  62%, 3840 MB,  40 GB
2026-03-02 14:20:03.185139, Server C,   8%, 2048 MB,  67 GB
2026-03-02 14:20:03.186838, Server A,  67%,  512 MB,  36 GB
2026-03-02 14:20:03.188754, Server A,  89%,  768 MB,  58 GB
2026-03-02 14:20:03.190024, Server A,  63%, 1536 MB,  36 GB
2026-03-02 14:20:03.191328, Server B,  45%, 1536 MB,   1 GB
2026-03-02 14:20:03.192985, Server C,  22%,  768 MB,  80 GB
2026-03-02 14:20:03.194664, Server B,  34%, 3840 MB,  27 GB
2026-03-02 14:20:03.196312, Server A,  36%, 1280 MB,  57 GB
2026-03-02 14:20:03.197940, Server C,  30%,  768 MB,   1 GB
2026-03-02 14:20:03.199567, Server C,  44%, 2048 MB,  89 GB
2026-03-02 14:20:03.201193, Server A,  31%, 2304 MB,  42 GB
2026-03-02 14:20:03.202825, Server B,  48%, 4096 MB,  19 GB
2026-03-02 14:20:03.204452, Server B,  15%, 1024 MB,   7 GB
2026-03-02 14:20:03.206210, Server A,  42%, 1536 MB,  13 GB
2026-03-02 14:20:03.207438, Server A,  50%, 1024 MB,  58 GB
2026-03-02 14:20:03.209046, Server C,  85%, 2304 MB,  79 GB
2026-03-02 14:20:03.210715, Server B,  62%, 2304 MB,  57 GB
2026-03-02 14:20:03.212416, Server C,  57%, 1280 MB,  94 GB
2026-03-02 14:20:03.214114, Server B,  18%, 1536 MB,  97 GB
2026-03-02 14:20:03.215813, Server C,  24%, 2816 MB,  34 GB
2026-03-02 14:20:03.217501, Server A,  97%, 2560 MB,  84 GB
2026-03-02 14:20:03.219180, Server A,  45%, 2816 MB,  79 GB
2026-03-02 14:20:03.220939, Server B,  26%, 3328 MB,  56 GB
2026-03-02 14:20:03.222848, Server A,  21%, 2304 MB,  33 GB
2026-03-02 14:20:03.224190, Server A,  72%, 1536 MB,  56 GB
2026-03-02 14:20:03.225431, Server B,  12%, 1536 MB,  73 GB
2026-03-02 14:20:03.227105, Server A,  36%, 3584 MB,  74 GB
2026-03-02 14:20:03.228796, Server C,  69%, 2048 MB,  30 GB
2026-03-02 14:20:03.230498, Server C,  38%, 2048 MB,  20 GB
2026-03-02 14:20:03.232172, Server B,  22%, 1280 MB,  52 GB
2026-03-02 14:20:03.233847, Server A,  63%, 1536 MB,  47 GB
2026-03-02 14:20:03.235512, Server B,  76%, 1792 MB, 100 GB
2026-03-02 14:20:03.237210, Server B,  92%, 2816 MB, 100 GB
2026-03-02 14:20:03.239006, Server B,  99%, 2304 MB,  22 GB
2026-03-02 14:20:03.240386, Server A,  38%,  512 MB,  37 GB
2026-03-02 14:20:03.241660, Server A,  26%,  768 MB,  12 GB
2026-03-02 14:20:03.243112, Server C,  82%, 1024 MB,  26 GB
2026-03-02 14:20:03.244822, Server B,  74%, 1024 MB,  32 GB
2026-03-02 14:20:03.246529, Server B,  76%, 1280 MB,   7 GB
2026-03-02 14:20:03.248230, Server A,  17%, 1536 MB,  69 GB
2026-03-02 14:20:03.250203, Server A,  78%, 3840 MB,  87 GB
2026-03-02 14:20:03.251635, Server B,  70%, 3072 MB,  32 GB
2026-03-02 14:20:03.253569, Server C,  30%, 2816 MB,  35 GB
2026-03-02 14:20:03.255773, Server B,  39%, 3328 MB,   3 GB
2026-03-02 14:20:03.257197, Server B,  24%, 3840 MB,  86 GB
2026-03-02 14:20:03.258551, Server A,   0%, 4096 MB,   9 GB
2026-03-02 14:20:03.260311, Server A,  45%, 3584 MB,  98 GB
2026-03-02 14:20:03.262159, Server A,  68%, 4096 MB,  75 GB
2026-03-02 14:20:03.263653, Server B,  12%, 2816 MB,   9 GB
2026-03-02 14:20:03.265449, Server A,  13%, 1792 MB,  76 GB
2026-03-02 14:20:03.267341, Server C,   8%, 2304 MB,  50 GB
2026-03-02 14:20:03.269261, Server A,  44%, 3072 MB,  67 GB
2026-03-02 14:20:03.271348, Server A,  36%, 1536 MB,   6 GB
2026-03-02 14:20:03.272834, Server B,  53%, 2816 MB,  91 GB
2026-03-02 14:20:03.274534, Server A,  49%,  768 MB,  19 GB
2026-03-02 14:20:03.275860, Server B,  53%,  768 MB,  29 GB
2026-03-02 14:20:03.277158, Server C,  47%,  512 MB,  25 GB
2026-03-02 14:20:03.278944, Server A,  58%, 1024 MB,  26 GB
2026-03-02 14:20:03.280949, Server B,  70%, 3072 MB,  98 GB
2026-03-02 14:20:03.282378, Server C,  24%, 1024 MB,  66 GB
2026-03-02 14:20:03.284324, Server B,  66%, 1536 MB,   2 GB
2026-03-02 14:20:03.286254, Server B,  89%, 3328 MB,  77 GB
2026-03-02 14:20:03.288360, Server C, 100%, 3328 MB,  77 GB
2026-03-02 14:20:03.289799, Server A,  84%, 1024 MB,  16 GB
2026-03-02 14:20:03.291635, Server A,  67%, 3328 MB,  37 GB
2026-03-02 14:20:03.292949, Server C,  60%, 3328 MB,  79 GB
2026-03-02 14:20:03.294761, Server B,  86%, 2048 MB,   0 GB
2026-03-02 14:20:03.296475, Server A,  12%, 1792 MB,  62 GB
2026-03-02 14:20:03.298174, Server B,   8%, 3072 MB,   2 GB
2026-03-02 14:20:03.299871, Server A,  18%, 1280 MB, 100 GB
2026-03-02 14:20:03.301588, Server A,  91%, 2560 MB,  57 GB
2026-03-02 14:20:03.303276, Server C,  59%, 1024 MB,  90 GB
2026-03-02 14:20:03.305223, Server B,  54%, 1024 MB,   2 GB
2026-03-02 14:20:03.306884, Server C,  50%, 2560 MB,  22 GB
2026-03-02 14:20:03.308592, Server C,  54%, 1536 MB,  38 GB
2026-03-02 14:20:03.310452, Server B,   6%, 3328 MB,  40 GB
2026-03-02 14:20:03.312252, Server A,  99%, 2816 MB,  25 GB
2026-03-02 14:20:03.314068, Server B,  86%, 1792 MB,   6 GB
2026-03-02 14:20:03.315876, Server B,  65%, 4096 MB,  68 GB
2026-03-02 14:20:03.317681, Server C,  35%, 3840 MB,  38 GB
2026-03-02 14:20:03.319485, Server A,  61%, 1024 MB,  60 GB
2026-03-02 14:20:03.321374, Server A,  31%, 3584 MB,  58 GB
2026-03-02 14:20:03.323255, Server C,  65%, 1024 MB,  52 GB
2026-03-02 14:20:03.325117, Server B,  85%, 1024 MB,  99 GB
2026-03-02 14:20:03.326919, Server A,  95%, 3840 MB,  94 GB
2026-03-02 14:20:03.328720, Server C,  77%, 3584 MB,  42 GB
